"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT08","WT11","WT14","WT16","WT18"
"USC00047916","SANTA CRUZ, CA US","1893-03-11","0.30","57",,,,,,"    1",,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-12","0.00","57",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-13","0.00","58",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-14","2.00","54",,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-03-15","0.07","59","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-16","0.00","62","44",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-17","0.00","62","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-18","0.55","63","42",,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-03-19","1.50","55","55",,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-03-20","0.45","55","55",,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-03-21","0.05","59","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-22","0.00","58","45",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-23","0.20","55","31",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-24",,"62","47",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-25","0.00","67","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-26","0.00","72","46",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-27","0.00","81","42",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-28","0.00","77","48",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-29","0.00","65","52",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-30","0.00","63","50",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-03-31","0.00","70","49",,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-01","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-02","0.00","69",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-03","0.00","64",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-04","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-05","0.90","60",,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-04-06","0.10","54",,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-04-07","0.25","60",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-08","0.00","67",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-09","0.00","60",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-10","0.00","59",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-11","0.00","60",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-12","0.00","62",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-13","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-14","0.00","74",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-15","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-16","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-17","0.00","70",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-18","0.00","73",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-19","0.00","73",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-20","0.00","75",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-21","0.32","74",,,,,,,,,,"    1",
"USC00047916","SANTA CRUZ, CA US","1893-04-22","0.08","63",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-23","0.00","61",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-24","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-25","0.00","71",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-26","0.00","70",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-27","0.00","70",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-28","0.00","62",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-29","0.00","68",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-04-30","0.00","74",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-01","0.00","75",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-02","0.00","74",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-03","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-04","0.00","76",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-05","0.00","73",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-06","0.00","80",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-07","0.00","76",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-08","0.18","68",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-09","0.00","75",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-10","0.00","85",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-11","0.00","79",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-12","0.00","76",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-13","0.00","69",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-14","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-15","0.00","70",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-16","0.18","67",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-17","0.00","67",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-18","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-19","0.00","69",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-20","0.00","68",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-21","0.00","82",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-22","0.00","79",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-23","0.00","81",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-24","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-25","0.00","77",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-26","0.00","75",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-27","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-28","0.00","73",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-29","0.00","72",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-30","0.00","74",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-05-31","0.00","70",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-01","0.00","75",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-02","0.00","84",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-03","0.00","87",,,,,,,,,,,
"USC00047916","SANTA CRUZ, CA US","1893-06-04","0.00","71",,,"    1",,,,,,,,
